Year,Annual,Inflation
1913,9.9,
1914,10.0,1.0101010101010166
1915,10.1,1.0000000000000009
1916,10.9,7.920792079207928
1917,12.8,17.431192660550465
1918,15.1,17.96875
1919,17.3,14.569536423841068
1920,20.0,15.606936416184958
1921,17.9,-10.500000000000009
1922,16.8,-6.145251396648033
1923,17.1,1.7857142857142794
1924,17.1,0.0
1925,17.5,2.3391812865497075
1926,17.7,1.1428571428571344
1927,17.4,-1.6949152542372947
1928,17.1,-1.724137931034464
1929,17.1,0.0
1930,16.7,-2.3391812865497186
1931,15.2,-8.982035928143716
1932,13.7,-9.868421052631582
1933,13.0,-5.109489051094885
1934,13.4,3.076923076923088
1935,13.7,2.238805970149249
1936,13.9,1.4598540145985384
1937,14.4,3.597122302158273
1938,14.1,-2.083333333333337
1939,13.9,-1.4184397163120477
1940,14.0,0.7194244604316502
1941,14.7,5.000000000000004
1942,16.3,10.88435374149661
1943,17.3,6.134969325153383
1944,17.6,1.7341040462427681
1945,18.0,2.2727272727272707
1946,19.5,8.333333333333325
1947,22.3,14.358974358974352
1948,24.1,8.071748878923767
1949,23.8,-1.2448132780083054
1950,24.1,1.2605042016806678
1951,26.0,7.883817427385886
1952,26.5,1.9230769230769162
1953,26.7,0.7547169811320753
1954,26.9,0.7490636704119868
1955,26.8,-0.3717472118959009
1956,27.2,1.4925373134328401
1957,28.1,3.308823529411775
1958,28.9,2.8469750889679624
1959,29.1,0.6920415224913601
1960,29.6,1.7182130584192379
1961,29.9,1.0135135135135087
1962,30.2,1.0033444816053505
1963,30.6,1.324503311258285
1964,31.0,1.3071895424836555
1965,31.5,1.6129032258064502
1966,32.4,2.857142857142847
1967,33.4,3.0864197530864113
1968,34.8,4.191616766467066
1969,36.7,5.4597701149425415
1970,38.8,5.722070844686633
1971,40.5,4.381443298969079
1972,41.8,3.2098765432098775
1973,44.4,6.2200956937799035
1974,49.3,11.036036036036023
1975,53.8,9.127789046653145
1976,56.9,5.762081784386619
1977,60.6,6.502636203866441
1978,65.2,7.590759075907583
1979,72.6,11.349693251533722
1980,82.4,13.498622589531696
1981,90.9,10.315533980582515
1982,96.5,6.160616061606161
1983,99.6,3.2124352331606154
1984,103.9,4.31726907630523
1985,107.6,3.561116458132818
1986,109.6,1.8587360594795488
1987,113.6,3.649635036496357
1988,118.3,4.137323943661975
1989,124.0,4.8182586644125225
1990,130.7,5.403225806451606
1991,136.2,4.20811017597551
1992,140.3,3.010279001468441
1993,144.5,2.9935851746258013
1994,148.2,2.560553633217988
1995,152.4,2.8340080971660075
1996,156.9,2.952755905511806
1997,160.5,2.294455066921608
1998,163.0,1.5576323987538832
1999,166.6,2.208588957055202
2000,172.2,3.361344537815114
2001,177.1,2.8455284552845628
2002,179.9,1.5810276679842028
2003,184.0,2.2790439132851503
2004,188.9,2.6630434782608736
2005,195.3,3.388035997882488
2006,201.6,3.2258064516129004
2007,207.342,2.84821428571429
2008,215.303,3.8395501152684863
2009,214.537,-0.3557776714676497
2010,218.056,1.6402765024214894
2011,224.939,3.1565285981582702
2012,229.594,2.0694499397614363
2013,232.957,1.4647595320435247
2014,236.736,1.6221877857286904
2015,237.017,0.11869762097864722
2016,240.007,1.2615128872612624
2017,245.12,2.130354531326173
2018,251.107,2.442477154046996
2019,255.657,1.811976567757978
2020,258.811,1.2336841940568721
2021,270.97,4.698022881562247
2022,292.655,8.00273092962318
2023,304.702,4.116451111376884
2024,313.689,2.9494391241278395
2025,321.943,2.631268549423149
