Profile,SepYOS,SepAge,H3Annual,H3PensionNPV,H3TSP_PV,H3Total,BRSAnnual,BRSPensionNPV,BRS_TSP_PV,BRSTotal,BRSAdv
Officer,4,26,0.0,0.0,37732.23520551154,37732.23520551154,0.0,0.0,62083.21357580023,62083.21357580023,24350.978370288693
Officer,6,28,0.0,0.0,60841.52497511793,60841.52497511793,0.0,0.0,107709.3361684485,107709.3361684485,46867.81119333057
Officer,8,30,0.0,0.0,84228.54797778375,84228.54797778375,0.0,0.0,153864.6941162031,153864.6941162031,69636.14613841937
Officer,10,32,0.0,0.0,108983.9946766945,108983.9946766945,0.0,0.0,202729.50695946597,202729.50695946597,93745.51228277147
Officer,12,34,0.0,0.0,135288.58370973487,135288.58370973487,0.0,0.0,254663.99916751744,254663.99916751744,119375.41545778257
Officer,14,36,0.0,0.0,162061.16710814685,162061.16710814685,0.0,0.0,307504.60829918226,307504.60829918226,145443.4411910354
Officer,16,38,0.0,0.0,189966.3921479108,189966.3921479108,0.0,0.0,362579.30632814165,362579.30632814165,172612.91418023084
Officer,18,40,0.0,0.0,218998.69807726258,218998.69807726258,0.0,0.0,419875.59061525704,419875.59061525704,200876.89253799446
Officer,20,42,115626.74367810418,1696171.8826465702,248386.79979336652,1944558.6824399368,92501.39494248333,1356937.506117256,477849.448669281,1834786.9547865367,-109771.72765340004
Officer,22,44,144752.7117917408,1945657.11261501,279729.83526089345,2225386.9478759035,115802.16943339263,1556525.6900920086,539697.6502765922,2096223.3403686008,-129163.60750730266
Officer,24,46,186250.85104992706,2288652.630522506,313146.90675841575,2601799.537280922,149000.68083994166,1830922.1044180049,605656.8271666891,2436578.931584694,-165220.60569622787
Officer,26,48,220260.25453518337,2468811.6198883895,347600.0524633759,2816411.6723517654,176208.20362814667,1975049.29591071,673649.4132296562,2648698.709140366,-167712.9632113995
Officer,28,50,268358.49905730115,2736266.8200526116,383991.62676196534,3120258.446814577,214686.7992458409,2189013.4560420895,745478.4020527242,2934491.858094814,-185766.58871976333
Officer,30,52,327492.67759008927,3030540.7662616787,422103.1087343224,3452643.874996001,261994.14207207138,2424432.6130093425,820704.9606709654,3245137.5736803077,-207506.30131569318
Officer,32,54,399350.101480689,3344077.1619777316,464011.8621718527,3808089.0241495846,319480.0811845512,2675261.7295821863,903481.9462396766,3578743.675821863,-229345.34832772147
Officer,34,56,461824.1076402737,3490065.256104461,507864.71464896883,3997929.97075343,369459.2861122189,2792052.2048835675,990101.060666739,3782153.2655503065,-215776.7052031234
Officer,36,58,516254.49322082667,3510405.5100972853,553748.0793528063,4064153.5894500916,413003.59457666136,2808324.4080778267,1080733.0906054743,3889057.498683301,-175096.0907667908
Officer,38,60,575318.8471311632,3510458.124321584,601752.1967152108,4112210.321036795,460255.0777049306,2808366.499457267,1175556.386889705,3983922.886346972,-128287.43468982307
Enlisted,4,22,0.0,0.0,24258.221913964415,24258.221913964415,0.0,0.0,39082.17073775243,39082.17073775243,14823.948823788014
Enlisted,6,24,0.0,0.0,38330.40577607698,38330.40577607698,0.0,0.0,66808.83475171393,66808.83475171393,28478.428975636954
Enlisted,8,26,0.0,0.0,52988.56192968784,52988.56192968784,0.0,0.0,95688.9494607065,95688.9494607065,42700.387531018656
Enlisted,10,28,0.0,0.0,68627.18634637531,68627.18634637531,0.0,0.0,126510.68798850861,126510.68798850861,57883.5016421333
Enlisted,12,30,0.0,0.0,84451.99695371231,84451.99695371231,0.0,0.0,157684.63111755074,157684.63111755074,73232.63416383843
Enlisted,14,32,0.0,0.0,101907.47592188793,101907.47592188793,0.0,0.0,192098.85025703555,192098.85025703555,90191.37433514762
Enlisted,16,34,0.0,0.0,119590.10028511251,119590.10028511251,0.0,0.0,226945.36700956075,226945.36700956075,107355.26672444824
Enlisted,18,36,0.0,0.0,138588.3925011534,138588.3925011534,0.0,0.0,264400.25253978756,264400.25253978756,125811.86003863416
Enlisted,20,38,67229.1333096635,1047316.0412207735,157987.31920742666,1205303.3604282,53783.3066477308,837852.8329766184,302632.423258725,1140485.2562353434,-64818.1041928567
Enlisted,22,40,89203.565477148,1278344.197613685,179731.52611034026,1458075.7237240253,71362.85238171839,1022675.3580909484,345530.1086935817,1368205.46678453,-89870.25693949522
Enlisted,24,42,111676.39119498362,1469757.258814414,201933.10680384253,1671690.3656182566,89341.1129559869,1175805.8070515308,389316.38713152014,1565122.194183051,-106568.17143520573
