Profile,SepYOS,SepAge,H3_GovtCost,GovtTSP_PV,BRS_GovtCost,DoD_Savings
Officer,4,26,0.0,14866.518465000001,14866.518465000001,-14866.518465000001
Officer,6,28,0.0,25683.637607662502,25683.637607662502,-25683.637607662502
Officer,8,30,0.0,38065.82046244791,38065.82046244791,-38065.82046244791
Officer,10,32,0.0,52738.63205984883,52738.63205984883,-52738.63205984883
Officer,12,34,0.0,70011.92184598334,70011.92184598334,-70011.92184598334
Officer,14,36,0.0,89546.41283519662,89546.41283519662,-89546.41283519662
Officer,16,38,0.0,111994.7721508043,111994.7721508043,-111994.7721508043
Officer,18,40,0.0,137679.03529626175,137679.03529626175,-137679.03529626175
Officer,20,42,1789866.240581937,166390.45041412857,1598283.4428796787,191582.79770225822
Officer,22,44,2050591.4234942903,199493.81258157676,1839966.9513770095,210624.47211728082
Officer,24,46,2415102.2140866406,237520.57537118846,2169602.346640501,245499.86744613945
Officer,26,48,2604683.3778649364,280101.5503467353,2363848.252638684,240835.12522625225
Officer,28,50,2885269.456656094,328523.48025727563,2636739.0455821515,248530.41107394267
Officer,30,52,3198150.9713902595,383192.2289836465,2941713.0060958536,256437.96529440582
Officer,32,54,3526634.405692116,445839.30945447023,3267146.834008162,259487.57168395398
Officer,34,56,3683754.447331849,514907.7156735536,3461911.273539033,221843.17379281623
Officer,36,58,3705223.530459983,591055.6335300927,3555234.4578980785,149989.07256190432
Officer,38,60,3705279.064631563,675008.7129669276,3639231.964672178,66047.09995938512
Enlisted,4,22,0.0,8078.156392500001,8078.156392500001,-8078.156392500001
Enlisted,6,24,0.0,13677.02242273125,13677.02242273125,-13677.02242273125
Enlisted,8,26,0.0,20248.157221061203,20248.157221061203,-20248.157221061203
Enlisted,10,28,0.0,28085.35733621998,28085.35733621998,-28085.35733621998
Enlisted,12,30,0.0,36988.57146318254,36988.57146318254,-36988.57146318254
Enlisted,14,32,0.0,47803.671038158755,47803.671038158755,-47803.671038158755
Enlisted,16,34,0.0,59980.137319570036,59980.137319570036,-59980.137319570036
Enlisted,18,36,0.0,74277.18739482596,74277.18739482596,-74277.18739482596
Enlisted,20,38,1105170.2153348126,90378.89510279564,974515.0673706455,130655.14796416718
Enlisted,22,40,1347076.7170889028,109802.8048508322,1187464.178521954,159612.53856694885
Enlisted,24,42,1550774.2361230531,131618.1653480425,1372237.554246486,178536.6818765672
Enlisted,26,44,1699984.1489450564,156186.48829621688,1516173.807452262,183810.34149279445
Enlisted,28,46,1834451.24305743,183595.12034657912,1651156.1147925225,183295.12826490751
PriorEnlistedOfficer,4,22,0.0,8078.156392500001,8078.156392500001,-8078.156392500001
PriorEnlistedOfficer,6,24,0.0,13677.02242273125,13677.02242273125,-13677.02242273125
PriorEnlistedOfficer,8,26,0.0,20248.157221061203,20248.157221061203,-20248.157221061203
PriorEnlistedOfficer,10,28,0.0,29584.32533621998,29584.32533621998,-29584.32533621998
PriorEnlistedOfficer,12,30,0.0,42058.789683182535,42058.789683182535,-42058.789683182535
PriorEnlistedOfficer,14,32,0.0,57308.90162570875,57308.90162570875,-57308.90162570875
PriorEnlistedOfficer,16,34,0.0,74258.23004234392,74258.23004234392,-74258.23004234392
PriorEnlistedOfficer,18,36,0.0,93848.28462168417,93848.28462168417,-93848.28462168417
PriorEnlistedOfficer,20,38,1690077.7647684054,116394.91079540679,1468457.1226101313,221620.64215827407
PriorEnlistedOfficer,22,40,1805545.2722711645,141252.56615193601,1585688.7839688675,219856.48830229696
PriorEnlistedOfficer,24,42,2023930.913699519,169789.07118250945,1788933.802142124,234997.11155739496
PriorEnlistedOfficer,26,44,2360336.898807471,202438.05497871668,2090707.5740246926,269629.3247827785
PriorEnlistedOfficer,28,46,2453377.385108625,238433.5596140352,2201135.467700935,252241.91740769008
PriorEnlistedOfficer,30,48,2736554.050725438,279926.70347447373,2469169.9440548234,267384.1066706148
PriorEnlistedOfficer,32,50,3223742.197559128,327571.39958060737,2906565.1576279094,317177.0399312186
PriorEnlistedOfficer,34,52,3281922.7181133865,380099.67703761964,3005637.8515283284,276284.86658505816
PriorEnlistedOfficer,36,54,3451568.458298229,439112.4429339757,3200367.209572559,251201.24872566992
PriorEnlistedOfficer,38,56,3736256.7781437817,505329.37433470826,3494334.796849734,241921.98129404755
