Profile,YOS,MonthlyPay
Officer,1,4150.2
Officer,2,5446.2
Officer,3,6272.4
Officer,4,7382.7
Officer,5,7382.7
Officer,6,7737.0
Officer,7,7737.0
Officer,8,8125.5
Officer,9,8125.5
Officer,10,9420.0
Officer,11,9420.0
Officer,12,9888.3
Officer,13,9888.3
Officer,14,10214.4
Officer,15,10214.4
Officer,16,11391.3
Officer,17,11391.3
Officer,18,11713.8
Officer,19,11713.8
Officer,20,12032.7
Officer,21,12032.7
Officer,22,14112.9
Officer,23,14112.9
Officer,24,14479.2
Officer,25,14479.2
Officer,26,15188.7
Officer,27,15188.7
Officer,28,16904.4
Officer,29,16904.4
Officer,30,17242.2
Officer,31,18999.9
Officer,32,18999.9
Officer,33,18999.9
Officer,34,18999.9
Officer,35,18999.9
Officer,36,18999.9
Officer,37,18999.9
Officer,38,18999.9
Officer,39,18999.9
Officer,40,18999.9
Enlisted,1,2697.9
Enlisted,2,3015.0
Enlisted,3,3198.0
Enlisted,4,3658.5
Enlisted,5,3658.5
Enlisted,6,4110.0
Enlisted,7,4110.0
Enlisted,8,4299.9
Enlisted,9,4612.8
Enlisted,10,4759.5
Enlisted,11,4759.5
Enlisted,12,5043.3
Enlisted,13,5591.7
Enlisted,14,5835.0
Enlisted,15,5835.0
Enlisted,16,6000.9
Enlisted,17,6448.2
Enlisted,18,6811.2
Enlisted,19,6811.2
Enlisted,20,6995.4
Enlisted,21,8105.1
Enlisted,22,8423.1
Enlisted,23,8423.1
Enlisted,24,8756.7
Enlisted,25,8756.7
Enlisted,26,9267.9
Enlisted,27,9267.9
Enlisted,28,9267.9
Enlisted,29,9267.9
Enlisted,30,9730.2
PriorEnlistedOfficer,1,2697.9
PriorEnlistedOfficer,2,3015.0
PriorEnlistedOfficer,3,3198.0
PriorEnlistedOfficer,4,3658.5
PriorEnlistedOfficer,5,3658.5
PriorEnlistedOfficer,6,4110.0
PriorEnlistedOfficer,7,4110.0
PriorEnlistedOfficer,8,4299.9
PriorEnlistedOfficer,9,5222.4
PriorEnlistedOfficer,10,6617.7
PriorEnlistedOfficer,11,6617.7
PriorEnlistedOfficer,12,8788.2
PriorEnlistedOfficer,13,8788.2
PriorEnlistedOfficer,14,9004.2
PriorEnlistedOfficer,15,9004.2
PriorEnlistedOfficer,16,9004.2
PriorEnlistedOfficer,17,9004.2
PriorEnlistedOfficer,18,10509.9
PriorEnlistedOfficer,19,10509.9
PriorEnlistedOfficer,20,10509.9
PriorEnlistedOfficer,21,10509.9
PriorEnlistedOfficer,22,10509.9
PriorEnlistedOfficer,23,10509.9
PriorEnlistedOfficer,24,12394.8
PriorEnlistedOfficer,25,12394.8
PriorEnlistedOfficer,26,12394.8
PriorEnlistedOfficer,27,12394.8
PriorEnlistedOfficer,28,12394.8
PriorEnlistedOfficer,29,12394.8
PriorEnlistedOfficer,30,15408.3
PriorEnlistedOfficer,31,15408.3
PriorEnlistedOfficer,32,15408.3
PriorEnlistedOfficer,33,15408.3
PriorEnlistedOfficer,34,15408.3
PriorEnlistedOfficer,35,15408.3
PriorEnlistedOfficer,36,17242.2
PriorEnlistedOfficer,37,17242.2
PriorEnlistedOfficer,38,17242.2
PriorEnlistedOfficer,39,18999.9
PriorEnlistedOfficer,40,18999.9
