Profile,SepYOS,Weight
Officer,4,0.19801000000000002
Officer,6,0.11885999999999997
Officer,8,0.09931000000000001
Officer,10,0.08004
Officer,12,0.05286000000000002
Officer,14,0.02343999999999996
Officer,16,0.011320000000000052
Officer,18,0.0046299999999999675
Officer,20,0.16975
Officer,22,0.06378999999999999
Officer,24,0.04977000000000001
Officer,26,0.039580000000000004
Officer,28,0.02907
Officer,30,0.034409999999999996
Officer,32,0.01011
Officer,34,0.006919999999999999
Officer,36,0.0038000000000000004
Officer,38,0.00433
Enlisted,4,0.5255799999999999
Enlisted,6,0.12335000000000002
Enlisted,8,0.07635999999999998
Enlisted,10,0.037150000000000016
Enlisted,12,0.02182999999999999
Enlisted,14,0.020080000000000015
Enlisted,16,0.005949999999999983
Enlisted,18,0.0020600000000000063
Enlisted,20,0.10912
Enlisted,22,0.03119000000000001
Enlisted,24,0.024449999999999996
Enlisted,26,0.012480000000000002
Enlisted,28,0.010399999999999998
PriorEnlistedOfficer,4,0.19801000000000002
PriorEnlistedOfficer,6,0.11885999999999997
PriorEnlistedOfficer,8,0.09931000000000001
PriorEnlistedOfficer,10,0.08004
PriorEnlistedOfficer,12,0.05286000000000002
PriorEnlistedOfficer,14,0.02343999999999996
PriorEnlistedOfficer,16,0.011320000000000052
PriorEnlistedOfficer,18,0.0046299999999999675
PriorEnlistedOfficer,20,0.16975
PriorEnlistedOfficer,22,0.06378999999999999
PriorEnlistedOfficer,24,0.04977000000000001
PriorEnlistedOfficer,26,0.039580000000000004
PriorEnlistedOfficer,28,0.02907
PriorEnlistedOfficer,30,0.034409999999999996
PriorEnlistedOfficer,32,0.01011
PriorEnlistedOfficer,34,0.006919999999999999
PriorEnlistedOfficer,36,0.0038000000000000004
PriorEnlistedOfficer,38,0.00433
