Year,Annual
1913,9.900
1914,10.000
1915,10.100
1916,10.900
1917,12.800
1918,15.100
1919,17.300
1920,20.000
1921,17.900
1922,16.800
1923,17.100
1924,17.100
1925,17.500
1926,17.700
1927,17.400
1928,17.100
1929,17.100
1930,16.700
1931,15.200
1932,13.700
1933,13.000
1934,13.400
1935,13.700
1936,13.900
1937,14.400
1938,14.100
1939,13.900
1940,14.000
1941,14.700
1942,16.300
1943,17.300
1944,17.600
1945,18.000
1946,19.500
1947,22.300
1948,24.100
1949,23.800
1950,24.100
1951,26.000
1952,26.500
1953,26.700
1954,26.900
1955,26.800
1956,27.200
1957,28.100
1958,28.900
1959,29.100
1960,29.600
1961,29.900
1962,30.200
1963,30.600
1964,31.000
1965,31.500
1966,32.400
1967,33.400
1968,34.800
1969,36.700
1970,38.800
1971,40.500
1972,41.800
1973,44.400
1974,49.300
1975,53.800
1976,56.900
1977,60.600
1978,65.200
1979,72.600
1980,82.400
1981,90.900
1982,96.500
1983,99.600
1984,103.900
1985,107.600
1986,109.600
1987,113.600
1988,118.300
1989,124.000
1990,130.700
1991,136.200
1992,140.300
1993,144.500
1994,148.200
1995,152.400
1996,156.900
1997,160.500
1998,163.000
1999,166.600
2000,172.200
2001,177.100
2002,179.900
2003,184.000
2004,188.900
2005,195.300
2006,201.600
2007,207.342
2008,215.303
2009,214.537
2010,218.056
2011,224.939
2012,229.594
2013,232.957
2014,236.736
2015,237.017
2016,240.007
2017,245.120
2018,251.107
2019,255.657
2020,258.811
2021,270.970
2022,292.655
2023,304.702
2024,313.689
2025,321.943
