Age,MaleLifeExpectancy,MaleTotalAge,FemaleLifeExpectancy,FemaleTotalAge
0,74.74,74.74,80.18,80.18
1,74.20,75.20,79.60,80.60
2,73.23,75.23,78.63,80.63
3,72.25,75.25,77.65,80.65
4,71.27,75.27,76.66,80.66
5,70.29,75.29,75.67,80.67
6,69.30,75.30,74.68,80.68
7,68.31,75.31,73.69,80.69
8,67.32,75.32,72.70,80.70
9,66.32,75.32,71.71,80.71
10,65.33,75.33,70.72,80.72
11,64.34,75.34,69.72,80.72
12,63.35,75.35,68.73,80.73
13,62.36,75.36,67.74,80.74
14,61.37,75.37,66.75,80.75
15,60.39,75.39,65.76,80.76
16,59.42,75.42,64.78,80.78
17,58.46,75.46,63.80,80.80
18,57.50,75.50,62.82,80.82
19,56.56,75.56,61.84,80.84
20,55.63,75.63,60.87,80.87
21,54.70,75.70,59.90,80.90
22,53.78,75.78,58.93,80.93
23,52.86,75.86,57.97,80.97
24,51.94,75.94,57.00,81.00
25,51.03,76.03,56.04,81.04
26,50.12,76.12,55.08,81.08
27,49.21,76.21,54.12,81.12
28,48.31,76.31,53.16,81.16
29,47.41,76.41,52.20,81.20
30,46.51,76.51,51.25,81.25
31,45.62,76.62,50.30,81.30
32,44.73,76.73,49.35,81.35
33,43.84,76.84,48.41,81.41
34,42.96,76.96,47.47,81.47
35,42.08,77.08,46.53,81.53
36,41.19,77.19,45.59,81.59
37,40.31,77.31,44.65,81.65
38,39.43,77.43,43.72,81.72
39,38.55,77.55,42.79,81.79
40,37.67,77.67,41.86,81.86
41,36.80,77.80,40.93,81.93
42,35.93,77.93,40.01,82.01
43,35.05,78.05,39.09,82.09
44,34.19,78.19,38.17,82.17
45,33.32,78.32,37.25,82.25
46,32.46,78.46,36.34,82.34
47,31.60,78.60,35.43,82.43
48,30.75,78.75,34.53,82.53
49,29.90,78.90,33.63,82.63
50,29.05,79.05,32.73,82.73
51,28.22,79.22,31.84,82.84
52,27.39,79.39,30.96,82.96
53,26.56,79.56,30.08,83.08
54,25.75,79.75,29.20,83.20
55,24.94,79.94,28.34,83.34
56,24.15,80.15,27.48,83.48
57,23.37,80.37,26.63,83.63
58,22.59,80.59,25.78,83.78
59,21.83,80.83,24.95,83.95
60,21.08,81.08,24.12,84.12
61,20.34,81.34,23.31,84.31
62,19.61,81.61,22.50,84.50
63,18.89,81.89,21.70,84.70
64,18.18,82.18,20.90,84.90
65,17.48,82.48,20.12,85.12
66,16.79,82.79,19.34,85.34
67,16.11,83.11,18.56,85.56
68,15.43,83.43,17.79,85.79
69,14.76,83.76,17.03,86.03
70,14.09,84.09,16.27,86.27
71,13.44,84.44,15.53,86.53
72,12.80,84.80,14.80,86.80
73,12.16,85.16,14.08,87.08
74,11.53,85.53,13.37,87.37
75,10.92,85.92,12.68,87.68
76,10.32,86.32,12.00,88.00
77,9.74,86.74,11.35,88.35
78,9.18,87.18,10.71,88.71
79,8.64,87.64,10.09,89.09
80,8.11,88.11,9.49,89.49
81,7.60,88.60,8.90,89.90
82,7.11,89.11,8.34,90.34
83,6.64,89.64,7.79,90.79
84,6.18,90.18,7.26,91.26
85,5.75,90.75,6.76,91.76
86,5.34,91.34,6.28,92.28
87,4.94,91.94,5.83,92.83
88,4.58,92.58,5.40,93.40
89,4.23,93.23,5.00,94.00
90,3.91,93.91,4.62,94.62
91,3.60,94.60,4.27,95.27
92,3.32,95.32,3.94,95.94
93,3.06,96.06,3.64,96.64
94,2.83,96.83,3.36,97.36
95,2.63,97.63,3.10,98.10
96,2.44,98.44,2.87,98.87
97,2.28,99.28,2.66,99.66
98,2.13,100.13,2.47,100.47
99,2.00,101.00,2.30,101.30
100,1.88,101.88,2.14,102.14
101,1.76,102.76,2.00,103.00
102,1.66,103.66,1.87,103.87
103,1.56,104.56,1.75,104.75
104,1.47,105.47,1.63,105.63
105,1.39,106.39,1.52,106.52
106,1.31,107.31,1.42,107.42
107,1.23,108.23,1.32,108.32
108,1.15,109.15,1.23,109.23
109,1.08,110.08,1.14,110.14
110,1.01,111.01,1.05,111.05
111,0.94,111.94,0.97,111.97
112,0.87,112.87,0.89,112.89
113,0.81,113.81,0.82,113.82
114,0.75,114.75,0.75,114.75
115,0.70,115.70,0.70,115.70
116,0.64,116.64,0.64,116.64
117,0.59,117.59,0.59,117.59
118,0.54,118.54,0.54,118.54
119,0.50,119.50,0.50,119.50
